year,category,film,name,status,gender
1936,DIRECTING,The Great Ziegfeld,Robert Z. Leonard,nominated,male
1936,CINEMATOGRAPHY,The General Died at Dawn,Victor Milner,nominated,male
1936,CINEMATOGRAPHY,Anthony Adverse,Gaetano Gaudio,winner,male
1936,FILM EDITING,Lloyds of London,Barbara McLean,nominated,female
1936,WRITING,Three Smart Girls,Adele Comandini,nominated,female
1936,WRITING,After the Thin Man,Frances Goodrich,nominated,female
1937,WRITING,A Star Is Born,Robert Carson,nominated,male
1937,WRITING,In Old Chicago,Niven Busch,nominated,male
1937,WRITING,Black Legion,Robert Lord,nominated,male
1937,FILM EDITING,Lost Horizon,Gene Milford,winner,male
1937,SHORT FILM,Penny Wisdom,Pete Smith,winner,male
1937,FILM EDITING,One Hundred Men and a Girl,Bernard W. Burton,nominated,male
1937,WRITING,The Life of Emile Zola,Geza Herczeg,nominated,male
1937,FILM EDITING,Lost Horizon,Gene Havlick,winner,male
1937,SHORT FILM,Romance of Radium,Pete Smith,nominated,male
1937,WRITING,A Star Is Born,Alan Campbell,nominated,male
1937,WRITING,The Life of Emile Zola,Heinz Herald,winner,male
1937,WRITING,Stage Door,Morris Ryskind,nominated,male
1937,WRITING,The Life of Emile Zola,Geza Herczeg,winner,male
1937,WRITING,The Life of Emile Zola,Norman Reilly Raine,winner,male
1937,WRITING,Captains Courageous,Dale Van Every,nominated,male
1937,WRITING,Captains Courageous,Marc Connelly,nominated,male
1937,WRITING,Captains Courageous,John Lee Mahin,nominated,male
1937,WRITING,A Star Is Born,Robert Carson,winner,male
1937,WRITING,A Star Is Born,William A. Wellman,winner,male
1937,WRITING,One Hundred Men and a Girl,Hans Kraly,nominated,male
1937,FILM EDITING,The Good Earth,Basil Wrangell,nominated,male
1937,WRITING,Stage Door,Anthony Veiller,nominated,male
1937,FILM EDITING,Captains Courageous,Elmo Veron,nominated,male
1937,WRITING,The Life of Emile Zola,Heinz Herald,nominated,male
1937,DIRECTING,A Star Is Born,William Wellman,nominated,male
1937,FILM EDITING,The Awful Truth,Al Clark,nominated,male
1937,WRITING,A Star Is Born,Dorothy Parker,nominated,female
1937,CINEMATOGRAPHY,Dead End,Gregg Toland,nominated,male
1937,CINEMATOGRAPHY,The Good Earth,Karl Freund,winner,male
1937,WRITING,The Awful Truth,Vina Delmar,nominated,female
1937,DIRECTING,The Awful Truth,Leo McCarey,winner,male
1937,DIRECTING,The Good Earth,Sidney Franklin,nominated,male
1937,DIRECTING,The Life of Emile Zola,William Dieterle,nominated,male
1937,DIRECTING,Stage Door,Gregory La Cava,nominated,male
1937,CINEMATOGRAPHY,Wings over Honolulu,Joseph Valentine,nominated,male
1938,DIRECTING,Four Daughters,Michael Curtiz,nominated,male
1938,DIRECTING,You Can't Take It with You,Frank Capra,winner,male
1938,WRITING,Blockade,John Howard Lawson,nominated,male
1938,FILM EDITING,The Adventures of Robin Hood,Ralph Dawson,winner,male
1938,FILM EDITING,The Great Waltz,Tom Held,nominated,male
1938,FILM EDITING,Test Pilot,Tom Held,nominated,male
1938,FILM EDITING,You Can't Take It with You,Gene Havlick,nominated,male
1938,WRITING,Alexander's Ragtime Band,Irving Berlin,nominated,male
1938,WRITING,Angels with Dirty Faces,Rowland Brown,nominated,male
1938,WRITING,You Can't Take It with You,Robert Riskin,nominated,male
1938,WRITING,Four Daughters,Julius J. Epstein,nominated,male
1938,WRITING,Pygmalion,Cecil Lewis,winner,male
1938,WRITING,Pygmalion,W. P. Lipscomb,winner,male
1938,WRITING,Pygmalion,George Bernard Shaw,winner,male
1938,WRITING,Pygmalion,Dialogue,winner,male
1938,WRITING,The Citadel,Frank Wead,nominated,male
1938,WRITING,The Citadel,Ian Dalrymple,nominated,male
1938,WRITING,Boys Town,John Meehan,nominated,male
1938,WRITING,Test Pilot,Frank Wead,nominated,male
1938,DIRECTING,The Citadel,King Vidor,nominated,male
1938,WRITING,Mad about Music,Frederick Kohner,nominated,male
1938,WRITING,Pygmalion,Ian Dalrymple,winner,male
1938,DIRECTING,Boys Town,Norman Taurog,nominated,male
1938,CINEMATOGRAPHY,The Buccaneer,Victor Milner,nominated,male
1938,CINEMATOGRAPHY,The Young in Heart,Leon Shamroy,nominated,male
1938,DIRECTING,Angels with Dirty Faces,Michael Curtiz,nominated,male
1938,WRITING,Four Daughters,Lenore Coffee,nominated,female
1938,WRITING,The Citadel,Elizabeth Hill,nominated,female
1938,WRITING,Mad about Music,Marcella Burke,nominated,female
1938,WRITING,Boys Town,Eleanore Griffin,winner,female
1938,FILM EDITING,Alexander's Ragtime Band,Barbara McLean,nominated,female
1938,CINEMATOGRAPHY,Algiers,James Wong Howe,nominated,male
1938,CINEMATOGRAPHY,Army Girl,Ernest Miller,nominated,male
1938,WRITING,Boys Town,Dore Schary,winner,female
1938,CINEMATOGRAPHY,The Great Waltz,Joseph Ruttenberg,winner,male
1938,CINEMATOGRAPHY,Jezebel,Ernest Haller,nominated,male
1938,CINEMATOGRAPHY,Mad about Music,Joseph Valentine,nominated,male
1938,CINEMATOGRAPHY,Merrily We Live,Norbert Brodine,nominated,male
1938,CINEMATOGRAPHY,Suez,Peverell Marley,nominated,male
1938,CINEMATOGRAPHY,Vivacious Lady,Robert de Grasse,nominated,male
1938,CINEMATOGRAPHY,Army Girl,Harry Wild,nominated,male
1938,CINEMATOGRAPHY,You Can't Take It with You,Joseph Walker,nominated,male
1939,CINEMATOGRAPHY,Only Angels Have Wings,Joseph Walker,nominated,male
1939,CINEMATOGRAPHY,The Rains Came,Arthur Miller,nominated,male
1939,CINEMATOGRAPHY,Stagecoach,Bert Glennon,nominated,male
1939,CINEMATOGRAPHY,Drums along the Mohawk,Bert Glennon,nominated,male
1939,CINEMATOGRAPHY,Drums along the Mohawk,Ray Rennahan,nominated,male
1939,CINEMATOGRAPHY,Of Mice and Men,Norbert Brodine,nominated,male
1939,CINEMATOGRAPHY,Four Feathers,Georges Perinal,nominated,male
1939,CINEMATOGRAPHY,Wuthering Heights,Gregg Toland,winner,male
1939,CINEMATOGRAPHY,Lady of the Tropics,George Folsey,nominated,male
1939,FILM EDITING,Stagecoach,Dorothy Spencer,nominated,female
1939,CINEMATOGRAPHY,Intermezzo,Gregg Toland,nominated,male
1939,CINEMATOGRAPHY,Gunga Din,Joseph H. August,nominated,male
1939,CINEMATOGRAPHY,The Great Victor Herbert,Victor Milner,nominated,male
1939,CINEMATOGRAPHY,First Love,Joseph Valentine,nominated,male
1939,WRITING,"Goodbye, Mr. Chips",Claudine West,nominated,female
1939,WRITING,"Goodbye, Mr. Chips",R. C. Sherriff,nominated,female
1939,WRITING,Love Affair,Mildred Cram,nominated,female
1939,FILM EDITING,The Rains Came,Barbara McLean,nominated,female
1939,CINEMATOGRAPHY,Gone with the Wind,Ernest Haller,winner,male
1939,CINEMATOGRAPHY,Juarez,Tony Gaudio,nominated,male
1939,CINEMATOGRAPHY,Gone with the Wind,Ray Rennahan,winner,male
1939,CINEMATOGRAPHY,Four Feathers,Osmond Borradaile,nominated,male
1939,CINEMATOGRAPHY,The Mikado,Bernard Knowles,nominated,male
1939,CINEMATOGRAPHY,The Mikado,William V. Skall,nominated,male
1939,WRITING,Wuthering Heights,Ben Hecht,nominated,male
1939,WRITING,Ninotchka,Walter Reisch,nominated,male
1939,WRITING,Ninotchka,Billy Wilder,nominated,male
1939,WRITING,Ninotchka,Charles Brackett,nominated,male
1939,WRITING,Mr. Smith Goes to Washington,Sidney Buchman,nominated,male
1939,WRITING,"Goodbye, Mr. Chips",Eric Maschwitz,nominated,male
1939,WRITING,"Goodbye, Mr. Chips",R. C. Sherriff,nominated,male
1939,WRITING,Gone with the Wind,Sidney Howard,winner,male
1939,WRITING,Young Mr. Lincoln,Lamar Trotti,nominated,male
1939,WRITING,Ninotchka,Melchior Lengyel,nominated,male
1939,WRITING,Mr. Smith Goes to Washington,Lewis R. Foster,winner,male
1939,WRITING,Love Affair,Leo McCarey,nominated,male
1939,WRITING,Bachelor Mother,Felix Jackson,nominated,male
1939,WRITING,Wuthering Heights,Charles MacArthur,nominated,male
1939,FILM EDITING,Mr. Smith Goes to Washington,Al Clark,nominated,male
